,E0,J,K',K0,Ksym,L,Qsym,m*,Max_mass,R(1.4),lambda(1.4)
QMC600,-16.252721141970202,33.016065335177615,340.3042921113389,191.46511710231925,-188.3711866588724,48.7753482735026,354.5015743308781,0.8220662911414186,0.9582822918891907,0.0,0.0
QMC650,-16.08857734697753,32.2625713988993,333.80512167495453,194.46630154390573,-154.5352813522086,53.462491113426246,317.49888406489066,0.794052162978682,1.5049017667770386,9.802197881195127,76.51206971684869
QMC700,-16.00568014065498,32.01891023958007,330.00378481731474,197.9410301285215,-127.53908920086445,58.26894294023416,288.077336766128,0.7706449015610275,1.7318052053451538,11.058051871118177,204.8616215899223
QMC750,-16.093381803877897,32.14682610281743,325.9315690770724,199.59918717181725,-107.23079884533252,62.82318759029359,265.85892214941674,0.7559696405399654,1.8563514947891235,11.610104975725914,300.9992604392469
RATP,-16.023305853170793,29.072800712205446,339.6680105696191,233.06631875764228,-187.06889513264343,32.96248803529276,431.9752155832055,0.671302007236892,1.685041904449463,10.08114474780768,114.86591941676465
Rs,-15.568539324004472,30.46222605675143,345.55010606481426,235.67375969537895,-9.108585668286022,85.33513104861329,22.415206060678468,0.7836717626461743,2.275357246398926,13.282436922268255,930.4005300331887
SGI,-15.870354209879721,28.6913481724367,307.100381983519,268.78908290629323,-52.65943173822875,64.65719371884619,197.542670087288,0.6042752991222199,2.3119912147521973,12.804713021821462,728.2766194299204
SGII,-15.574529218496314,26.73382817642422,376.009123538874,212.05330918636335,-144.3855589103543,37.74331860289961,327.4428831819532,0.7872273254548859,1.6375170946121216,10.126218099716159,120.21748832670099
SI,-15.972128397980157,29.25390128010185,-153.32081726864712,378.8358411714769,-471.26364439271566,-0.4038385920174481,143.0123122900068,0.9105818320117498,1.1561487913131714,5.9074554443359375,4.339196681976318
SII,-15.87392406581759,35.09043157503738,-6.977694197021596,382.8568706931025,-295.4704426433604,47.520322857660176,109.54120409065155,0.5656248251100611,2.010282516479492,12.09632022088202,373.37750869495824
SIII,-15.703743036935068,28.296819767194478,-101.43026897069603,417.8734765319281,-456.1150450217894,-0.6737936878042873,140.71662585658052,0.7486809446712875,0.9921655058860779,6.437153339385986,54.8051872253418
SIIIs,-16.512922776299963,33.04494938930871,-114.08487886434519,405.2188666382789,-397.9341006756471,25.20678404776686,82.53568151043824,0.7826152576063864,1.5117202997207642,9.037905234793094,46.57960076325618
SIV,-15.911512734198826,32.06829136910282,80.38809655666599,350.12071705929014,-146.8560727527059,64.17337807173742,81.02877858749703,0.46129786997289907,2.356916666030884,13.185498736297944,796.5086029621388
SK255,-16.31268530360942,37.354639621612144,348.94391953125233,254.2534257712268,-58.207293020252905,94.95233829814276,94.1695021080954,0.7975350831868143,2.2420499324798584,13.801305484840723,1018.7368178446445
SK272,-16.256930214076135,37.73436134428244,311.54784960539223,276.23249607653173,-68.77648748887566,92.43066934305405,135.84247004717741,0.7710677927961528,2.3081846237182617,13.853349862964873,1027.4360146039746
SKRA,-15.754059464532169,31.059947576309632,370.1180174634021,212.24182521553976,-136.6290291671654,52.95020391018408,305.7717559187853,0.7514152069084528,1.74718177318573,11.131787701749746,219.7066840681479
SKa,-15.970828715229386,33.184551454577615,305.96583620379465,267.65448115023685,-79.52560760787,75.15822432107666,176.5157231220097,0.6061771924881126,2.254243850708008,13.203339235674825,791.56426719159
SKb,-15.970828715229386,24.062729779577616,305.96583620379465,267.65448115023685,-79.52560760787,47.79275929607666,176.5157231220097,0.6061771924881126,2.192716121673584,12.081316589102604,533.3538962240136
SKz0,-15.981819596963273,31.78516095713993,354.50854795777934,223.67952231584022,-235.65658205039966,35.9650768038937,395.7835866000451,0.7041410312007458,0.7340133786201477,7.82689094543457,799.0003051757812
SKz1,-15.981981250019153,31.839390791700634,354.50693142722054,223.67790578528127,-236.64905721310618,28.68059272772742,523.9251321610657,0.7041446993812133,1.2758225202560425,7.934248447418213,30.64990234375
SKz2,-15.981341084083052,31.907476161091328,354.51333308658127,223.68430744464214,-254.18537312751323,18.128907105710905,668.6105184737866,0.7041301731604799,1.363728642463684,7.887879371643066,22.08332633972168
SKz3,-15.982450589336361,31.93602808812951,354.5022380340482,223.67321239210926,-237.7823245154447,14.24649406193199,779.356540260032,0.7041553496984317,1.630924940109253,8.984100119310135,56.3047730301637
SKz4,-15.982348688406951,31.980576704519194,354.50325704334256,223.67423140140343,-237.5676876599358,7.175384159030278,906.2735130680943,0.7041530373200855,1.739711046218872,9.14496471430675,28.433615337756905
SKzm1,-15.982134390669762,31.668446090488093,354.50540002071443,223.67637437877534,-178.54941233360447,54.28504469460432,211.52734648493598,0.704148174436101,1.3719744682312012,9.049464225769043,39.7925910949707
SLy0,-15.94739826975848,31.667342086443114,352.3811024299243,222.7060518771894,-114.93223368259402,46.95941742630592,498.8039528552876,0.7024306175377591,2.0406172275543213,11.609043151072324,321.39408967678736
SLy1,-15.961015359655379,31.6757714638648,352.6329978084229,222.80659730513713,-115.18453339311182,46.91498359709672,499.3933379144228,0.702431418154987,2.040142774581909,11.60584340696648,320.8001088291812
SLy10,-15.881881734123953,32.10857677761919,363.2515947525013,232.7552815305897,-142.99372293707796,38.6886775177063,596.5530013973882,0.6816103130420761,2.0163490772247314,11.339803867784527,270.54206240649336
SLy2,-15.960822997412862,31.663320725742928,351.7624082097126,222.4657325333549,-113.77200992547127,47.27363195950667,495.9946364332072,0.702403677552072,2.043085813522339,11.622197732707642,324.2079045133692
SLy230a,-15.965032403926239,31.719468606330775,353.63120803191526,223.57778260280315,-98.28892291690039,44.125552902592034,592.7415043880726,0.7010345195858801,2.1358892917633057,11.709735862311833,352.35406721206004
