,t0,t1,t2,t31,t32,t33,x0,x1,x2,x31,x32,x33,sigma1,sigma2,sigma3
43000,-2252.969347,254.922503,344.1120713,13366.35993,NaN,NaN,0.044231255,-0.981700727,-1.572202641,0.053508656,NaN,NaN,0.295186197,NaN,NaN
44000,-2164.407326,437.8195988,273.0548397,12894.45808,NaN,NaN,0.356477205,-1.21735825,1.365488279,2.715112975,NaN,NaN,0.228591174,NaN,NaN
45000,-2244.058195,371.6329391,132.4973372,12821.14924,NaN,NaN,0.351858869,-1.143661555,-0.109373548,-0.449179929,NaN,NaN,0.236426271,NaN,NaN
46000,-2356.156261,490.1493444,427.6839338,12293.04883,NaN,NaN,0.284554322,-0.342696366,-1.301434456,1.5509687,NaN,NaN,0.181315568,NaN,NaN
47000,-2256.61908,355.6073944,433.4773318,12716.75857,NaN,NaN,0.419630437,-1.247791932,-0.040287771,1.955976477,NaN,NaN,0.210981891,NaN,NaN
48000,-2321.502973,439.5398994,196.00692,13034.97526,NaN,NaN,0.096369224,-0.771339815,0.886287215,1.313807047,NaN,NaN,0.199807219,NaN,NaN
49000,-2047.370056,341.2007375,288.4011577,12292.56744,NaN,NaN,0.386377384,-1.47800893,-1.120980925,2.808288081,NaN,NaN,0.233588094,NaN,NaN
50000,-1937.70289,364.5680026,-16.06066771,13412.24554,NaN,NaN,0.309589244,-1.40580324,-2.108051601,0.406078526,NaN,NaN,0.231964727,NaN,NaN
51000,-1917.821413,236.9148377,-84.31493356,13683.47434,NaN,NaN,0.291719495,-1.466562657,-1.665686208,2.360299314,NaN,NaN,0.355897651,NaN,NaN
52000,-2119.556911,339.7275647,271.0148809,13499.35163,NaN,NaN,0.23833616,-1.484299708,-2.26809098,0.22842127,NaN,NaN,0.288391616,NaN,NaN
53000,-1873.183915,235.8145512,62.33154086,13341.70514,NaN,NaN,0.156350774,-0.862959578,-0.379260138,1.136957721,NaN,NaN,0.279490304,NaN,NaN
54000,-2020.540186,477.27751,242.3141763,12817.28433,NaN,NaN,0.183591007,-0.874873157,0.95431206,0.395439286,NaN,NaN,0.218353489,NaN,NaN
55000,-2217.298355,213.699217,202.5326881,13330.21465,NaN,NaN,0.026247482,-0.82871298,1.096935721,-0.167401152,NaN,NaN,0.274800415,NaN,NaN
56000,-2049.057458,413.1938671,537.9620936,11072.5164,NaN,NaN,0.272317477,-1.278625153,-0.411319264,-0.76946134,NaN,NaN,0.24737054,NaN,NaN
57000,-2143.297093,416.8798017,386.169563,10840.84347,NaN,NaN,0.402684171,-1.218548843,-1.227593963,1.004786427,NaN,NaN,0.197059179,NaN,NaN
58000,-2228.421161,504.859661,379.9586867,12481.29427,NaN,NaN,0.428878768,-1.003043557,-0.874593292,-0.481367436,NaN,NaN,0.207948364,NaN,NaN
59000,-2296.147548,395.3496007,295.2379552,12547.08084,NaN,NaN,0.338968876,-0.851926914,0.423825554,2.597872558,NaN,NaN,0.218253784,NaN,NaN
60000,-2225.143424,385.8023635,420.2938679,12476.34258,NaN,NaN,0.477803878,-1.114630341,1.144947201,1.156589819,NaN,NaN,0.212638191,NaN,NaN
61000,-2070.075323,291.2486326,387.7310886,13595.80889,NaN,NaN,0.048659762,-0.872598347,1.084541267,0.188751779,NaN,NaN,0.263114897,NaN,NaN
