Model,t0,t1,t2,t31,t32,t33,x0,x1,x2,x31,x32,x33,sigma1,sigma2,sigma3,CrustSmooth,EOSType,Input,MaxMass,MaxMassRequested,PCentral,PCentral2MOdot,PCentralMaxMass,PRCTransDensity,PolyTropeDensity,R(1.4),RadiusCheckpoint0,RadiusCheckpoint1,RadiusCheckpoint2,RadiusCheckpoint3,RadiusCheckpoint4,RadiusCheckpoint5,SkyrmeDensity,SoundHighDensity,TranDensity,lambda(1.4),P(0.67rho0),P(1.5rho0),P(2rho0),P(3rho0),P(rho0),P_Sym(0.67rho0),P_Sym(1.5rho0),P_Sym(2rho0),P_Sym(rho0),Sym(0.67rho0),Sym(1.5rho0),Sym(2rho0),Sym(rho0),ViolateCausality,AgreeLowDensity
SV-min,-2112.248,295.781,142.268,13988.567,0.0,0.0,0.24388631,-1.4349263,-2.6258991000000003,0.25807017,0.0,0.0,0.255368,0.0,0.0,0.0,EOS2Poly,SkyrmeParameters/PawelSkyrmeNoRho0.csv,2.372469425201416,2.0,98.57372815848471,229.9711914791462,844.0487455197132,0.3,0.48,11.239139556884766,6.68524169921875,6.685389518737793,10.339966773986816,10.635604858398438,10.876752853393556,11.21580696105957,0.048,0.48,0.00023552,218.1697998046875,0.9423165228720868,6.784345425655372,14.070140554116989,39.526001116376044,2.4657996014877552,-0.6587085331060392,3.8004127825376295,12.281841342281453,-0.024300895609041254,24.5868038526121,36.13285552528055,38.559221343237645,30.5664112009043,False,True
SV-sym32,-1883.278,319.184,197.329,12559.469,0.0,0.0,0.007688466999999998,-0.59430727,-2.1692149,-0.30953656,0.0,0.0,0.3,0.0,0.0,0.0,EOS2Poly,SkyrmeParameters/PawelSkyrmeNoRho0.csv,2.397414207458496,2.0,87.44338123585109,212.27813917739255,819.0887714698372,0.3,0.48,11.789363861083984,5.4595675468444815,5.459714889526367,10.798930168151855,11.11863899230957,11.380756378173828,11.762930870056152,0.048,0.48,0.00023552,281.95806884765625,1.2236818072676299,9.019187844165263,18.362958667114338,49.46047281322897,3.29323706105954,-0.6770788485578554,4.212416598868091,13.60415273624898,0.015852741172265452,24.816482538114506,39.67986793001896,43.93742103669498,32.072133323496985,False,True
SV-sym34,-1887.367,323.8040000000001,351.782,12597.277,0.0,0.0,-0.23010994,-0.95958627,-1.7754751,-0.72185432,0.0,0.0,0.3,0.0,0.0,0.0,EOS2Poly,SkyrmeParameters/PawelSkyrmeNoRho0.csv,2.43322491645813,2.0,68.89671922972781,187.9243995872289,786.6597633136093,0.3,0.48,12.682186126708984,1.5814154148101809,1.5815629959106443,11.482206344604492,11.902923583984375,12.193098068237305,12.650436401367188,0.048,0.48,0.00023552,428.56683349609375,1.5911285154672334,13.144352443828723,27.39925775811328,75.78227020048917,4.585554909135062,-0.6766341421831326,4.239413618413386,13.670627454675367,0.021981135930189702,24.68944655676369,46.6385450688571,57.26676715461669,34.13664725756963,False,True
SV-tls,-1879.892,317.952,30.265,12531.858,0.0,0.0,0.24641350000000006,-0.19762662,-7.2127637999999985,0.10379268,0.0,0.0,0.3,0.0,0.0,0.0,EOS2Poly,SkyrmeParameters/PawelSkyrmeNoRho0.csv,2.3308699131011963,2.0,111.63931176029112,258.23310595282004,876.5442477876107,0.3,0.48,10.62984561920166,7.30088472366333,7.83397912979126,9.826364517211914,10.099410057067873,10.315896034240724,10.609763145446776,0.048,0.4923936570137144,0.00023552,167.6368408203125,0.8610522741413021,4.92352368452991,9.382038416675826,23.27067611868764,2.0128703502994925,-0.6756776093266483,4.201362654889273,13.571015061665484,0.015224212316582634,24.969277773015623,32.778485612487444,30.68216330864555,30.04637978489569,False,True
SkI3,-1762.88,561.6080000000002,-227.09,8106.2,0.0,0.0,0.3083,-1.1722,-1.0907,1.2926,0.0,0.0,0.25,0.0,0.0,0.0,EOS2Poly,SkyrmeParameters/PawelSkyrmeNoRho0.csv,2.506351947784424,2.0,45.334777214538214,143.18117510282067,721.0975069252079,0.3,0.48,13.705255508422852,0.00014768638357054442,0.00029535801149904733,12.394965171813965,12.79308795928955,13.11589813232422,13.666712760925293,0.048,0.48,0.00023552,746.1480102539062,1.5829967401235752,18.934673444596093,44.624420808608406,146.03743119954098,5.511660597068365,-0.7168325998686389,5.002939213429367,16.37693645746889,0.06897307937992336,24.46924890171926,53.567901000402344,74.4769704061305,35.32706090514125,False,True
SkM,-2645.0,385.0,-120.0,15595.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.1666667,0.0,0.0,0.0,EOS2Poly,SkyrmeParameters/PawelSkyrmeNoRho0.csv,2.3796794414520264,2.0,95.14275761840919,224.54959463789174,835.2803925515457,0.3,0.48,11.45119571685791,6.329648494720459,6.329796314239503,10.493249893188477,10.821967124938963,11.07138442993164,11.426830291748047,0.048,0.48,0.00023552,236.7044982910156,1.0890322733241802,7.792354671596514,15.91173807623334,43.51802100251221,2.8671306303923494,-0.6385567345010876,3.793627646317628,12.24714305816465,-0.0048945449650327644,24.312449992057534,37.09503603542023,40.32044730310474,30.72650566747485,False,True
SkMs,-2645.0,410.0,-135.0,15595.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.1666667,0.0,0.0,0.0,EOS2Poly,SkyrmeParameters/PawelSkyrmeNoRho0.csv,2.3725361824035645,2.0,98.06029291496752,229.55813710868338,843.7244938324881,0.3,0.48,11.303080558776855,6.640202045440674,6.640349864959718,10.373930931091307,10.691573143005373,10.935525894165039,11.27945327758789,0.048,0.48,0.00023552,221.6190185546875,1.0269824580154774,7.260102171473008,14.765466101642744,40.13842828807715,2.6866041066809445,-0.6385567345010876,3.793627646317628,12.24714305816465,-0.0048945449650327644,23.947814411602675,35.697960767160275,38.063865756712154,30.01572701969877,False,True
SkT1,-1794.0,298.0,-298.0,12812.0,0.0,0.0,0.154,-0.5,-0.5,0.08900000000000001,0.0,0.0,0.3333333,0.0,0.0,0.0,EOS2Poly,SkyrmeParameters/PawelSkyrmeNoRho0.csv,2.402299165725708,2.0,86.34597046406199,209.7122444601344,815.4599923885762,0.3,0.48,11.818306922912598,5.259472370147705,5.259620189666748,10.811630249023438,11.142857551574707,11.40718936920166,11.791726112365724,0.048,0.48,0.00023552,287.1831359863281,1.1015315738162603,8.719909158973701,18.457885388705314,52.93493625869571,3.044994016348567,-0.6918194117325023,4.1063453318747785,13.383946243746886,-0.02390727116122253,24.84368936550753,39.6083315537902,44.554469072947626,31.911787924163693,False,True
SkT2,-1791.6,300.0,-300.0,12792.0,0.0,0.0,0.154,-0.5,-0.5,0.08900000000000001,0.0,0.0,0.3333333,0.0,0.0,0.0,EOS2Poly,SkyrmeParameters/PawelSkyrmeNoRho0.csv,2.40212345123291,2.0,86.41135737491491,209.82151491049655,816.0504920337391,0.3,0.48,11.815796852111815,5.2681851387023935,5.268332481384277,10.809562683105467,11.140642166137695,11.404973983764648,11.789363861083984,0.048,0.48,0.00023552,286.77850341796875,1.1018390077174187,8.71291410135049,18.438966961050767,52.869285344432754,3.0439208954215515,-0.6905752586131426,4.0985264664139445,13.359371884271773,-0.024030302325357845,24.826619506825967,39.58736195511293,44.53633316583786,31.891638379466038,False,True
SkT3,-1791.8,298.5,-99.5,12794.0,0.0,0.0,0.138,-1.0,1.0,0.075,0.0,0.0,0.3333333,0.0,0.0,0.0,EOS2Poly,SkyrmeParameters/PawelSkyrmeNoRho0.csv,2.402984142303467,2.0,86.35639797498915,209.46708809119716,816.0504920337391,0.3,0.48,11.802654266357422,5.260358333587647,5.2605061531066895,10.80498504638672,11.128681182861328,11.392865180969238,11.77622127532959,0.048,0.48,0.00023552,286.55401611328125,1.073864084378007,8.657465427975644,18.404770212207858,53.02158824588374,2.9990601131807804,-0.6905272963250797,4.1001723529600165,13.363365320219268,-0.02363399920894408,24.43935927987868,38.98087148300479,43.876064960804655,31.394115807954194,False,True
SkT4,-1808.8,303.4,-303.4,12980.0,0.0,0.0,-0.177,-0.5,-0.5,-0.5,0.0,0.0,0.3333333,0.0,0.0,0.0,EOS2Poly,SkyrmeParameters/PawelSkyrmeNoRho0.csv,2.447516918182373,2.0,59.7313192012988,177.45462752831764,772.4413827160492,0.3,0.48,13.144693374633787,0.00014768638357054442,0.00029535801149904733,11.8369140625,12.309758186340332,12.61130428314209,13.109843254089355,0.048,0.48,0.00023552,526.642822265625,1.7105673524276508,15.426006033628015,33.15449922855497,95.88259970586113,5.154149800025436,-0.6791716995351056,4.2877998017458925,13.796194863338075,0.028582190617542438,25.069655782101144,51.16233624113824,66.2527797784534,35.662075990851875,False,True
SkT5,-2917.1,328.2,-328.2,18584.0,0.0,0.0,-0.295,-0.5,-0.5,-0.5,0.0,0.0,0.1666667,0.0,0.0,0.0,EOS2Poly,SkyrmeParameters/PawelSkyrmeNoRho0.csv,2.407032966613769,2.0,77.23575205106688,202.21547419444127,804.6942292490119,0.3,0.48,12.58236026763916,4.036308288574219,4.036456108093262,11.354175567626953,11.83189296722412,12.102575302124025,12.551201820373535,0.048,0.48,0.00023552,370.3655090332031,1.8020329719030783,14.49679800546984,29.9476244573741,82.0512558983467,5.129654361835615,-0.6272469158356786,3.1604031335877143,10.236984732157199,-0.08399708757228036,25.438506862101146,51.98812224113824,67.3538277784534,36.212599990851864,False,True
SkT7,-1892.5,366.6,-21.0,11983.0,0.0,0.0,0.334,-0.359,6.9,0.366,0.0,0.0,0.285,0.0,0.0,0.0,EOS2Poly,SkyrmeParameters/PawelSkyrmeNoRho0.csv,2.3455984592437744,2.0,108.26408665810598,248.83881026437882,868.7366697275783,0.3,0.48,10.69821834564209,7.288628101348878,7.606122016906737,9.916887283325195,10.158035278320312,10.378952026367188,10.677839279174805,0.048,0.4866051992086251,0.00023552,177.01979064941406,0.7762064152085804,4.828288395866496,9.76136261965604,26.89741636252621,1.8614391665720968,-0.6865251690635934,4.15059463592197,13.539344139056276,-0.013493774236105309,24.669028758538946,32.081786763371184,30.22523687955812,29.48956619026355,False,True
SkXce,-1437.96,244.335,-133.741,12116.26,0.0,0.0,0.289,0.611,0.145,-0.056,0.0,0.0,0.5,0.0,0.0,0.0,EOS2Poly,SkyrmeParameters/PawelSkyrmeNoRho0.csv,2.352150678634644,2.0,105.63462836891236,243.88211298791413,861.2179008105829,0.3,0.48,10.895506858825684,7.24181604385376,7.361135005950928,10.042555809020996,10.330072402954102,10.560735702514648,10.87409496307373,0.048,0.4822670461229016,0.00023552,187.7589569091797,0.8632024123193694,5.5108398803342835,11.161619072131462,30.57144837164034,2.103252957355543,-0.7250305948474346,5.521053787102205,17.83461703278628,0.1497210599527247,25.388310363751327,32.683655210323664,29.091136642279324,30.53719080656091,False,True
