,t0,t1,t2,t31,t32,t33,x0,x1,x2,x31,x32,x33,sigma1,sigma2,sigma3
s16hs20,-1901.396,306.898,191.469,12753.3311,NaN,NaN,0.04489,-0.59,-2.17,-0.26667,NaN,NaN,0.3,NaN,NaN
s16s16,-1902.0507,295.7452,186.7857,12802.2002,NaN,NaN,0.388006,-1.774663,-2.169215,0.571408,NaN,NaN,0.3,NaN,NaN
s16s20,-1902.9565,305.59,191.5276,12779.1416,NaN,NaN,0.131178,-1.774663,-2.169215,0.126065,NaN,NaN,0.3,NaN,NaN
s16s24,-1904.9104,313.9059,196.1505,12775.7412,NaN,NaN,-0.098552,-1.774663,-2.169215,-0.283022,NaN,NaN,0.3,NaN,NaN
s17hs20,-2504.8003,461.6381,-473.0772,13885.8809,NaN,NaN,0.39674,-0.344,-1,0.64966,NaN,NaN,0.1666667,NaN,NaN
s17s16,-2604.7971,403.7006,-57.0752,15053.418,NaN,NaN,0.473356,-0.3438,1.093095,0.592531,NaN,NaN,0.1666667,NaN,NaN
s17s20,-2590.1982,412.846,-58.8545,14909.3916,NaN,NaN,0.218813,-0.3438,1.093095,0.203788,NaN,NaN,0.1666667,NaN,NaN
s17s24,-2596.5999,429.386,-58.9626,14891.0742,NaN,NaN,-0.071049,-0.3438,1.093095,-0.241455,NaN,NaN,0.1666667,NaN,NaN
s18hs20,-2663.3262,391.7116,-120.4399,15673.0986,NaN,NaN,0.14556,0,0,0.04131,NaN,NaN,0.1666667,NaN,NaN
s18s16,-2665.6826,386.1866,-114.4999,15683.457,NaN,NaN,0.483777,-0.362611,0,0.606028,NaN,NaN,0.1666667,NaN,NaN
s18s20,-2664.1848,391.7357,-120.7052,15681.2148,NaN,NaN,0.152238,-0.362611,0,0.10915,NaN,NaN,0.1666667,NaN,NaN
s18s24,-2668.0818,401.5772,-123.9691,15688.7236,NaN,NaN,-0.086221,-0.362611,0,-0.251231,NaN,NaN,0.1666667,NaN,NaN
s3hs20,-2672.9292,389.9987,-483.6504,15780.5664,NaN,NaN,0.38065,-0.4,-0.93,0.5464,NaN,NaN,0.166666,NaN,NaN
s3s16,-2709.7637,365.6654,-495.5247,16215.4795,NaN,NaN,0.536185,0.17936,-0.9268,0.679573,NaN,NaN,0.166666,NaN,NaN
s3s20,-2701.9958,379.7927,-503.6746,16098.8623,NaN,NaN,0.274942,0.17936,-0.9268,0.296662,NaN,NaN,0.166666,NaN,NaN
s3s24,-2705.2017,391.3624,-521.702,16102.8066,NaN,NaN,0.030375,0.17936,-0.9268,-0.070195,NaN,NaN,0.166666,NaN,NaN
s6hs20,-2825.3372,460.5309,-92.3284,15717.9121,NaN,NaN,0.20841,-0.05,0.03,0.17311,NaN,NaN,0.14,NaN,NaN
s6s16,-2890.8621,429.2244,-97.4185,16398.6348,NaN,NaN,0.487592,-0.070049,0.02717,0.576365,NaN,NaN,0.14,NaN,NaN
s6s20,-2846.3867,452.9283,-95.3678,15933.5576,NaN,NaN,0.198943,-0.070049,0.02717,0.159584,NaN,NaN,0.14,NaN,NaN
s6s24,-2850.687,465.3125,-99.077,15935.5635,NaN,NaN,-0.083278,-0.070049,0.02717,-0.26684,NaN,NaN,0.14,NaN,NaN
s7hs20,-2182.061,277.2899,-160.7546,14616.165,NaN,NaN,0.14993,-0.8,0,0.08177,NaN,NaN,0.25,NaN,NaN
s7s16,-2180.7981,268.8235,-156.0246,14617.2783,NaN,NaN,0.435965,-1.348904,0,0.609227,NaN,NaN,0.25,NaN,NaN
s7s20,-2182.3215,278.4217,-160.1265,14608.7422,NaN,NaN,0.185862,-1.348904,0,0.219436,NaN,NaN,0.25,NaN,NaN
s7s24,-2183.7407,288.3078,-163.8307,14594.4912,NaN,NaN,-0.041758,-1.348904,0,-0.143183,NaN,NaN,0.25,NaN,NaN
s8hs20,-1768.2156,261.4152,-158.5517,12913.669,NaN,NaN,0.13785,-0.8,0,0.02291,NaN,NaN,0.35,NaN,NaN
s8ps12,-1771.2125,234.0659,-156.8271,13114.0625,NaN,NaN,0.58953,-0.8,0,0.79856,NaN,NaN,0.35,NaN,NaN
s8ps14,-1770.6622,238.6446,-158.4659,13090.8418,NaN,NaN,0.46561,-0.8,0,0.58688,NaN,NaN,0.35,NaN,NaN
s8ps16,-1770.0769,244.0042,-159.9421,13060.794,NaN,NaN,0.34671,-0.8,0,0.38174,NaN,NaN,0.35,NaN,NaN
s8ps18,-1769.3514,250.2933,-160.9831,13019.3555,NaN,NaN,0.23343,-0.8,0,0.18435,NaN,NaN,0.35,NaN,NaN
s8ps20,-1770.2207,254.8175,-162.9114,13015.9082,NaN,NaN,0.12224,-0.8,0,-0.01495,NaN,NaN,0.35,NaN,NaN
