t0,t1,t2,t31,t32,t33,x0,x1,x2,x31,x32,x33,sigma1,sigma2,sigma3
BSk12,-1773.71,309.046,-75.2529,12253.1,NaN,NaN,0.263418,-0.46164,1.22561,0.229978,NaN,NaN,0.333333,NaN,NaN
BSk13,-1773.86,307.766,-73.428,12254.3,NaN,NaN,0.253076,-0.471466,1.27406,0.215541,NaN,NaN,0.333333,NaN,NaN
BSk14,-1822.67,377.47,-2.41056,11406.3,NaN,NaN,0.302096,-0.823575,61.94,0.47346,NaN,NaN,0.3,NaN,NaN
BSk15,-1832.91,372.552,17.982,11483,NaN,NaN,0.436279,-0.785263,-9.53228,0.675865,NaN,NaN,0.3,NaN,NaN
BSk16,-1837.23,383.521,-3.41736,11523,NaN,NaN,0.4326,-0.824106,44.652,0.689797,NaN,NaN,0.3,NaN,NaN
BSk17,-1837.33,389.102,-3.17417,11523.8,NaN,NaN,0.411377,-0.832102,49.4875,0.654962,NaN,NaN,0.3,NaN,NaN
SK255,-1689.35,389.3,-126.07,10989.6,NaN,NaN,-0.1461,0.116,0.0012,-0.7449,NaN,NaN,0.3563,NaN,NaN
SK272,-1496.84,397.66,-112.82,10191.64,NaN,NaN,0.0008,0.0102,0.002,-0.5519,NaN,NaN,0.4492,NaN,NaN
QMC1,-1071,651,-352,16620,NaN,NaN,0.89,0,0,1,NaN,NaN,1,NaN,NaN
QMC2,-1082,400,-146,14926,NaN,NaN,0.59,0,0,1,NaN,NaN,1,NaN,NaN
QMC3,-1047,373,-136,12531,NaN,NaN,0.61,0,0,0,NaN,NaN,1,NaN,NaN
QMC600,-2510.0376,520.9512,-221.0096,14651.7525,NaN,NaN,0.17,0,0,0,NaN,NaN,0.17,NaN,NaN
QMC650,-2462.6784,436.0993,-151.9441,14154.4809,NaN,NaN,0.13,0,0,0,NaN,NaN,0.17,NaN,NaN
QMC700,-2429.1323,370.9804,-96.6917,13773.634,NaN,NaN,0.1,0,0,0,NaN,NaN,0.17,NaN,NaN
QMC750,-2403.4794,319.6746,-55.2524,13473.6924,NaN,NaN,0.08,0,0,0,NaN,NaN,0.17,NaN,NaN
