,t0,t1,t2,t31,t32,t33,x0,x1,x2,x31,x32,x33,sigma1,sigma2,sigma3
SkI4,-1855.827,473.829,1006.855,9703.607,0,0,0.40508200,-2.88914800,-1.32515000,1.14520300,0,0,0.25,0,0
SkI5,-1772.907,550.84,-126.685,8206.246,0,0,-0.11707700,-1.30872600,-1.04864000,0.34102300,0,0,0.25,0,0
SkM,-2645,385,-120,15595,0,0,0.09000000,0.00000000,0.00000000,0.00000000,0,0,0.1666667,0,0
SkMP,-2372.24,503.623,57.2783,12585.3,0,0,-0.15756300,-0.40288600,-2.95571000,-0.26793300,0,0,0.1666667,0,0
SkMs,-2645,410,-135,15595,0,0,0.09000000,0.00000000,0.00000000,0.00000000,0,0,0.1666667,0,0
SkO,-2103.653,303.352,791.674,13553.252,0,0,-0.21070100,-2.81075200,-1.46159500,-0.42988100,0,0,0.25,0,0
SkOp,-2099.419,301.531,154.781,13526.464,0,0,-0.02950300,-1.32573200,-2.32343900,-0.14740400,0,0,0.25,0,0
SkSC14,-1792.47,291.334,-291.334,12805.7,0,0,0.36402500,-0.50000000,-0.50000000,0.45543100,0,0,0.3333333,0,0
SkSC6,-1792.47,291.964,-291.964,12805.7,0,0,0.37003800,-0.50000000,-0.50000000,0.58108500,0,0,0.3333333,0,0
SkT,-1144.7,402.1,56.1,9656.3,0,0,0.07000000,0.00000000,0.00000000,1.00000000,0,0,1,0,0
SkT1,-1794,298,-298,12812,0,0,0.15400000,-0.50000000,-0.50000000,0.08900000,0,0,0.3333333,0,0
SkT2,-1791.6,300,-300,12792,0,0,0.15400000,-0.50000000,-0.50000000,0.08900000,0,0,0.3333333,0,0
SkT3,-1791.8,298.5,-99.5,12794,0,0,0.13800000,-1.00000000,1.00000000,0.07500000,0,0,0.3333333,0,0
SkT4,-1808.8,303.4,-303.4,12980,0,0,-0.17700000,-0.50000000,-0.50000000,-0.50000000,0,0,0.3333333,0,0
SkT5,-2917.1,328.2,-328.2,18584,0,0,-0.29500000,-0.50000000,-0.50000000,-0.50000000,0,0,0.1666667,0,0
SkT6,-1794.2,294,-294,12817,0,0,0.39200000,-0.50000000,-0.50000000,0.50000000,0,0,0.3333333,0,0
SkT7,-1892.5,366.6,-21,11983,0,0,0.33400000,-0.35900000,6.90000000,0.36600000,0,0,0.285,0,0
SkT8,-1892.5,367,-228.76,11983,0,0,0.44800000,-0.50000000,-0.50000000,0.69500000,0,0,0.285,0,0
SkT9,-1891.4,377.4,-239.16,11982,0,0,0.44100000,-0.50000000,-0.50000000,0.68600000,0,0,0.285,0,0
SkTK,-2248,558.8,-83.7,11224,0,0,0.71500000,0.00000000,0.00000000,1.00000000,0,0,0.166667,0,0
Skyrme1p,-1057.3,235.9,-100,14463.5,0,0,0.28850000,0.00000000,0.00000000,0.22570000,0,0,1,0,0
T,-1788.9,301.5,502.5,12764,0,0,0.35300000,-2.50000000,-1.70000000,0.47500000,0,0,0.333333,0,0
f-,-1848.2463,476.7814,-530.4592,14017.9358,0,0,0.82626300,-0.55398926,-0.99062500,1.81328247,0,0,0.3333333,0,0
s10hs20,-1810.02075,275.54434,-256.94205,12858.77051,0,0,0.16703000,-0.50000000,-0.50000000,0.08449000,0,0,0.333333,0,0
s10s16,-1809.863159,268.8074646,-250.4112091,12869.74316,0,0,0.41750200,-1.01919880,-0.50000000,0.63063720,0,0,0.3333333,0,0
s10s20,-1810.980591,276.8115234,-256.2614441,12859.27148,0,0,0.18317500,-1.01919880,-0.50000000,0.21702750,0,0,0.3333333,0,0
s10s24,-1812.993897,285.4754333,-262.1108398,12854.90234,0,0,-0.03478700,-1.01919880,-0.50000000,-0.17862890,0,0,0.3333333,0,0
s11hs20,-1807.08679,277.89841,-254.42711,12797.7002,0,0,0.18100000,-0.69974000,-0.50000000,0.15224000,0,0,0.3333333,0,0
s11s16,-1807.148071,271.2805786,-248.3392792,12812.49902,0,0,0.41747000,-0.99367180,-0.50000000,0.63079580,0,0,0.3333333,0,0
s11s20,-1807.991455,278.7789917,-253.8823242,12800.33105,0,0,0.18689400,-0.99367180,-0.50000000,0.22243090,0,0,0.3333333,0,0
s11s24,-1810.55542,288.1222534,-259.9057617,12799.22754,0,0,-0.03480200,-0.99367180,-0.50000000,-0.18105640,0,0,0.3333333,0,0
s12hs20,-1811.51819,270.64868,-85.66787,12906.86719,0,0,0.14178000,-1.00000000,1.00000000,0.05379000,0,0,0.333333,0,0
s12s16,-1811.392456,264.3297424,-83.3801193,12914.11914,0,0,0.39965800,-1.52126410,1.00000000,0.60999490,0,0,0.3333333,0,0
s12s20,-1812.471924,272.2641602,-85.4006424,12904.61328,0,0,0.15893700,-1.52126410,1.00000000,0.18713730,0,0,0.3333333,0,0
s12s24,-1814.175659,280.8729248,-87.3087616,12896.19141,0,0,-0.06219800,-1.52126410,1.00000000,-0.21185110,0,0,0.3333333,0,0
s15hs20,-2542.91626,444.04242,-99.12335,14309.62109,0,0,0.18930000,0.00000000,0.00000000,0.12170000,0,0,0.1666666,0,0
s15s16,-2578.83252,420.0640869,-101.3566666,14730.43359,0,0,0.47226400,-0.08089000,0.00000000,0.56804380,0,0,0.1666666,0,0
s15s20,-2544.635254,443.4455566,-99.7321625,14329.97266,0,0,0.18321600,-0.08089000,0.00000000,0.12726910,0,0,0.1666666,0,0
s15s24,-2548.46167,454.3227844,-103.1147079,14332.05371,0,0,-0.07164700,-0.08089000,0.00000000,-0.28089920,0,0,0.1666666,0,0
s16hs20,-1901.396,306.89804,191.46901,12753.33105,0,0,0.04489000,-0.59000000,-2.17000000,-0.26667000,0,0,0.3,0,0
s16s16,-1902.050659,295.7451782,186.7857361,12802.2002,0,0,0.38800600,-1.77466260,-2.16921490,0.57140750,0,0,0.3,0,0
s16s20,-1902.956543,305.5899658,191.5276184,12779.1416,0,0,0.13117800,-1.77466260,-2.16921490,0.12606470,0,0,0.3,0,0
s16s24,-1904.9104,313.9059143,196.150528,12775.74121,0,0,-0.09855200,-1.77466260,-2.16921490,-0.28302230,0,0,0.3,0,0
s17hs20,-2504.80029,461.63812,-473.07721,13885.88086,0,0,0.39674000,-0.34400000,-1.00000000,0.64966000,0,0,0.1666667,0,0
s17s16,-2604.797119,403.7005615,-57.0751991,15053.41797,0,0,0.47335600,-0.34380000,1.09309530,0.59253120,0,0,0.1666667,0,0
s17s20,-2590.198242,412.8460083,-58.854454,14909.3916,0,0,0.21881300,-0.34380000,1.09309530,0.20378810,0,0,0.1666667,0,0
s17s24,-2596.599854,429.3860168,-58.9625664,14891.07422,0,0,-0.07104900,-0.34380000,1.09309530,-0.24145510,0,0,0.1666667,0,0
s18hs20,-2663.32617,391.71164,-120.43994,15673.09863,0,0,0.14556000,0.00000000,0.00000000,0.04131000,0,0,0.1666667,0,0
s18s16,-2665.682617,386.1866455,-114.4999008,15683.45703,0,0,0.48377700,-0.36261130,0.00000000,0.60602750,0,0,0.1666667,0,0
s18s20,-2664.184815,391.7357483,-120.7052307,15681.21484,0,0,0.15223800,-0.36261130,0.00000000,0.10915020,0,0,0.1666667,0,0
